date,symbol,open,close,volume,open_interest,first_notice,till_notice_cd,is_passed,Best_Vol,Best_Oi,B_V_3,auto_roll,Auto_Best_V,Forced_roll_V,Forced_Best_V,+2_Forced_Roll_V,+2_Forced_Best_V,auto_roll_hold,+1_auto_roll_hold,forced_roll_hold,f_r_h_Best_V,confirm_forced_roll_hold,Test_Hold,Test_Best_V
1989-05-08,ZC-1989K,280.5,279.5,2699,10986,1989-04-28,-10,true,"","","",ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-08,ZC-1989N,277.0,275.25,14721,73978,1989-06-30,53,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-08,ZC-1989U,266.5,265.5,1599,14887,1989-08-31,115,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-08,ZC-1989Z,263.25,262.25,5236,56002,1989-11-30,206,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-08,ZC-1990H,269.5,268.75,152,6939,1990-02-28,296,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-08,ZC-1990K,271.5,270.0,5,1434,1990-04-30,357,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-08,ZC-1990N,274.0,272.0,4,590,1990-06-29,417,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-09,ZC-1989K,280.25,277.5,3094,9619,1989-04-28,-11,true,"","","",ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-09,ZC-1989N,276.0,274.0,17907,74845,1989-06-30,52,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-09,ZC-1989U,265.5,264.5,1338,15174,1989-08-31,114,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
