instrument,last_date,codes,Dead_contracts,Active_contracts,per_year,is_deliverable,has_notice,Mean_Auto_Best_V,Mean_Forced_Best_V,Roll_Rule,Unique_Roll
6A,20260918,HMUZ,"",HMUZ,4,true,false,0.9882,0.9861,auto_roll,
6B,20260918,HMUZ,"",HMUZ,4,true,false,0.9787,0.9997,forced_roll,
6C,20260918,HMUZ,"",HMUZ,4,true,false,0.9712,0.9944,forced_roll,
6E,20260918,HMUZ,"",HMUZ,4,true,false,0.9954,1.0,auto_roll,
6J,20260918,HMUZ,"",HMUZ,4,true,false,0.9757,0.9947,forced_roll,
6M,20260918,HMUZ,"",HMUZ,4,true,false,0.9871,0.9668,auto_roll,
6N,20260918,HMUZ,"",HMUZ,4,true,false,1.0,1.0,auto_roll,
6S,20260918,HMUZ,"",HMUZ,4,true,false,0.9766,0.9931,LT_forced_roll,true
BRN,20260918,FGHJKMNQUVXZ,"",FGHJKMNQUVXZ,12,false,false,0.9434,0.9913,forced_roll,
BTC,20260918,FGHJKMNQUVXZ,"",FGHJKMNQUVXZ,12,false,false,1.0,1.0,auto_roll,
CC,20260918,HKNUZ,"",HKNUZ,5,true,true,0.9083,0.9385,forced_roll,
CGB,20260918,HMUZ,"",HMUZ,4,true,true,0.9997,0.9997,auto_roll,
CL,20260918,FGHJKMNQUVXZ,"",FGHJKMNQUVXZ,12,true,false,0.9282,0.9816,forced_roll,
CT,20260918,HKNVZ,V,HKNZ,5,true,true,0.9009,0.942,forced_roll,
DX,20260918,HMUZ,"",HMUZ,4,true,false,0.9767,0.9638,auto_roll,
EMD,20260918,HMUZ,"",HMUZ,4,false,false,0.9815,1.0,forced_roll,
ES,20260918,HMUZ,"",HMUZ,4,false,false,0.9811,1.0,forced_roll,
ETH,20260918,FGHJKMNQUVXZ,"",FGHJKMNQUVXZ,12,false,false,1.0,1.0,auto_roll,
EUA,20260918,FGHJKMNQUVXZ,FGHJKMNQUVX,Z,12,true,false,0.9918,0.7011,LT_forced_roll,true
FDAX9,20260918,HMUZ,"",HMUZ,4,false,false,0.9983,0.9791,auto_roll,
FESX9,20260918,HMUZ,"",HMUZ,4,false,false,0.9978,0.9799,auto_roll,
FGBL9,20260918,HMUZ,"",HMUZ,4,true,false,0.9951,0.981,auto_roll,
FGBM9,20260918,HMUZ,"",HMUZ,4,true,false,0.9958,0.9815,auto_roll,
FGBS9,20260918,HMUZ,"",HMUZ,4,true,false,0.9928,0.9741,auto_roll,
