,Acceleration,Amihud_Illiquidity,Anchored_Momentum,Breakout,Carry_Momentum,Carry,Dispersion_Timing,EWMAC_Ensemble,EWMAC_Fast,EWMAC_Medium,EWMAC_Slow,Fast_Mean_Reversion,Intraday_Momentum,Kurtosis,Network_Momentum,Normalized_Momentum,OI_Momentum,Overnight_Momentum,Range_Compression,Realized_Semivariance,Relative_Carry,Skew,Skew_XS,Tail_Asymmetry,Value,Vol_of_Vol,Vol_Price_Divergence,Vol_Regime,Volume_Momentum,XS_Momentum
Acceleration,1.0,-0.07049180214053033,0.6691649655382038,0.7562641147216914,0.19124571340582192,0.058413530611468395,0.007643552977377818,0.5476974817025291,0.7612257049666334,0.48868112418302945,0.18657385552829772,-0.1562384880599376,0.31679579350828524,-0.037961271443343846,0.4813610575076912,0.6341221494295495,0.2509117175158596,0.25614319268151664,-0.17539601126796486,0.7974380083061858,-0.027669169272191572,-0.1490300658772063,-0.035442156081059384,0.009865818999395167,-0.10524682002362591,-0.10457434947013228,0.3841656060725688,-0.10816939604209865,0.23856189828494945,0.3074084462149395
Amihud_Illiquidity,-0.07049180214053033,1.0,-0.139382548593339,-0.10964986124116051,-0.012012368665492055,0.0975664919752381,-0.0340708503566749,-0.12773281657620253,-0.11415007449460983,-0.1086632753966457,-0.1144015790830081,0.0710181530980445,-0.10142036967162774,0.5259730577304523,-0.11358337667062253,-0.14914830787647657,-0.09638741993902478,-0.06417024308603714,0.12855654113052814,-0.11475601245689929,0.05202403386064834,-0.01993977446739801,0.08605692935060222,0.1627682498009136,0.17953856646586897,0.03037442036241743,-0.04283333451594105,0.07837703361321251,-0.056074345751763954,-0.04447961872086853
Anchored_Momentum,0.6691649655382038,-0.139382548593339,1.0,0.9278860312212185,0.1645078000831716,0.13259120091898333,0.06488367167738593,0.8178973779576744,0.9442422904701054,0.6953862477526731,0.5182654779580131,-0.3928207230911811,0.6196071667420107,-0.15607977059798692,0.6188671240547425,0.8358871306074457,0.3081187118408894,0.5344101522367288,-0.29724037933338543,0.8436987662399461,0.036344047664517015,-0.010845003937835824,-0.02489522562423661,-0.054355681535023785,-0.33299721110130864,-0.16574719529995438,0.3523296932968743,-0.18188996421594672,0.37136672294826234,0.6534175663587127
Breakout,0.7562641147216914,-0.10964986124116051,0.9278860312212185,1.0,0.17686424138328263,0.14194203867553473,0.014527337102183293,0.7370704000659358,0.9395758954224923,0.6009696109513726,0.398642665530835,-0.46112460263414823,0.6369626917763508,-0.11985876876624284,0.6618744273686141,0.7611126171650126,0.32360308100123153,0.5574357498362031,-0.19861246117165304,0.8634889399917791,0.03697276659796817,-0.028998099990097063,-0.010080252803123484,-0.07189405943252279,-0.28498077846778813,-0.07653130451298734,0.38331776730570827,-0.06875555917756607,0.36562347779571003,0.5379768603651017
Carry_Momentum,0.19124571340582192,-0.012012368665492055,0.1645078000831716,0.17686424138328263,1.0,0.4206520477898653,0.024588293580539353,0.12931358717263536,0.1897699712418961,0.10572447019137257,0.044776439629685715,-0.03158911160304461,0.1324779396311481,0.01294484172621406,0.10366514140082747,0.13807990135178322,0.06993837514603944,0.04802050996721308,-0.05585477488783673,0.1713914060869314,0.2472468153809266,-0.000623445840097586,-0.008753475591418928,0.05778842713600342,-0.03383013094852984,-0.03391601823342706,0.08267924940038068,0.006377486180255432,0.11163357994197316,0.07651813314663498
Carry,0.058413530611468395,0.0975664919752381,0.13259120091898333,0.14194203867553473,0.4206520477898653,1.0,0.036326802098537364,0.24176864307889956,0.1435912509498558,0.23364900583240747,0.2697245369985543,0.005824691395385704,0.06698452521949425,0.1649897153321072,0.042101735133680235,0.18100370631001467,0.06111329157564272,0.03386932519587271,0.059003588544324755,0.06160312601799411,0.6283084368762278,0.1662667135636509,0.06147575580656861,-0.13318391274458338,-0.18309236987401414,0.04638076809819821,-0.04072236593912757,0.08270139949572589,0.07182962105669462,0.2162620173287848
Dispersion_Timing,0.007643552977377818,-0.0340708503566749,0.06488367167738593,0.014527337102183293,0.024588293580539353,0.036326802098537364,1.0,-0.05080922876988469,0.005193031892040529,-0.06223656910236283,-0.08545151181242501,-0.15154727053734096,0.11588813133299418,0.14145911194468555,-0.09510807310395843,-0.04871546773109348,-0.09514327622269983,0.11835010329567978,-0.19970314656687665,0.0307949123044281,-0.06325635554043472,-0.1657094188400758,-0.04307130329337665,0.14733118409775148,0.1201034064480473,-0.21235805418726472,0.10090426385713548,-0.3789433952027712,0.030503674980738422,0.0026060301679994304
EWMAC_Ensemble,0.5476974817025291,-0.12773281657620253,0.8178973779576744,0.7370704000659358,0.12931358717263536,0.24176864307889956,-0.05080922876988469,1.0,0.8079793581557192,0.966826810554524,0.8833380417757722,-0.0888493660590137,0.3552086646075431,-0.23562412171435831,0.5013772635580667,0.9672921785420684,0.26724933860947603,0.28634955309356835,-0.2326700318864911,0.620126777015877,0.15025926775208687,0.23591188418638803,0.016386598181159503,-0.21298482177978734,-0.47111899295557,-0.13003429655841978,0.09369415191738185,-0.09336079212914997,0.2754023251454133,0.7924075413529933
EWMAC_Fast,0.7612257049666334,-0.11415007449460983,0.9442422904701054,0.9395758954224923,0.1897699712418961,0.1435912509498558,0.005193031892040529,0.8079793581557192,1.0,0.6682500157520512,0.4591153125543534,-0.2459177140055546,0.5479746373615849,-0.14534898023166923,0.651145295646733,0.8423780463474277,0.32975364228671944,0.45311115681673547,-0.24957951631523181,0.8751734804430654,0.053210156519030445,0.009220088422991757,-0.005197573365497444,-0.08232891940787644,-0.30381996894840185,-0.12077735381903154,0.36696999511115064,-0.10574103624413991,0.3660357413659997,0.5809796290979572
EWMAC_Medium,0.48868112418302945,-0.1086632753966457,0.6953862477526731,0.6009696109513726,0.10572447019137257,0.23364900583240747,-0.06223656910236283,0.966826810554524,0.6682500157520512,1.0,0.908994278880861,-0.011965786624188488,0.22999298461231898,-0.22419674180643345,0.39685056546712477,0.9376197091375168,0.21607621910697136,0.179395756894524,-0.20776481367780503,0.48678549073305405,0.13920954585348763,0.2546651008870879,0.014526686142472987,-0.21727953303921202,-0.44708669901509696,-0.1265075068565424,0.007004024904906258,-0.09075248191074009,0.20669770402358573,0.7904455874646394
