Alpha,SR_Full,SR_Post2010,CAGR,Max_DD,Avg_Corr
EWMAC_Ensemble,0.573827505469801,0.40291594394580826,0.14337276772666163,0.5356027179245981,0.27759906124127015
EWMAC_Slow,0.5704173798803638,0.5016287596637857,0.1416944579276389,0.709164862736331,0.18173093470493604
Normalized_Momentum,0.5553180883334606,0.35369079060579534,0.1438436380512329,0.4990798282244761,0.27724674883289124
EWMAC_Medium,0.5018742026140166,0.3563467506517392,0.1265303252206582,0.6002230974108014,0.24245853558265357
Carry,0.4847920943185632,0.439547658284369,0.09604535967879246,0.40092835792662845,0.11617052818351678
Skew,0.47835422273229994,0.68837063103144,0.10612331812268261,0.4779887519984493,0.021230842873094662
XS_Momentum,0.4317520017231879,0.3552531776759753,0.10086458419049471,0.5623377051759237,0.21847337920015628
Network_Momentum,0.4290494132402754,0.2210324244459775,0.08056487762241193,0.2860990815688582,0.19757857767593917
EWMAC_Fast,0.39189862177771967,0.19331206988772337,0.09891985011847293,0.5699834327793237,0.29731150220663893
Relative_Carry,0.3627534266802833,0.44088735293235537,0.0770711674598783,0.537829036491368,0.060501015037893985
Vol_of_Vol,0.23660629942756936,0.3987825935217783,0.053199695655033796,0.43774165928212944,-0.011858486312122581
Anchored_Momentum,0.20277677107887931,0.12628224777750274,0.04760601843660295,0.6459491244803651,0.2880213255943917
Vol_Regime,0.17623128962450024,0.08537568667926612,0.0432652788982828,0.7205022991801817,-0.006475034344772921
Skew_XS,0.14764345060089965,0.33670993699109075,0.038146909901687565,0.47122064056172847,0.011738244967332587
Acceleration,0.14320999400129555,-0.07933851345193876,0.03320900283951511,0.8519228994460178,0.2197746276716518
Breakout,0.12925564058650357,-0.05332528479069005,0.02348686075342954,0.7877810576384121,0.28936637814072197
Realized_Semivariance,0.10813554353241421,0.04832634270944333,0.023782549281009313,0.7055127087771688,0.2541603545067524
Carry_Momentum,0.09857048350987896,0.23323947513584697,0.031155169581917663,0.41650481663509387,0.0872284498346467
Vol_Price_Divergence,-0.09073754305145525,-0.14133465347727803,-0.0010984204841432144,0.6818508161287149,0.0920507579857005
Range_Compression,-0.18220347216907248,-0.12958093542675994,-0.011375867102242698,0.7438882990539125,-0.0690424073900798
Value,-0.2553718267837469,0.02568190395071467,-0.027702527424198764,0.8534336257404871,-0.14163443858672095
OI_Momentum,-0.30716510233067545,-0.16049584985604395,-0.019525905639731,0.6546104378537818,0.11674875140615443
Volume_Momentum,-0.3975123794309451,-0.33174371094363275,-0.03620140069074407,0.805289473141316,0.12484012071072542
Fast_Mean_Reversion,-0.5400709893174498,-0.626769681801803,-0.11562678076096777,0.9955672685693319,-0.12295484011926847
Overnight_Momentum,-0.5843216165976406,-0.6213794382591431,-0.0917289042391376,0.9776167211873737,0.12192619404286538
Dispersion_Timing,-0.6439236109467961,-0.5854969723733184,-0.1231754770221185,0.9933674826438543,-0.02500070391412813
Intraday_Momentum,-0.6623325427430911,-0.4043264004200582,-0.09962570696160977,0.9802191972823814,0.1588117803044333
Tail_Asymmetry,-0.6881153857129432,-0.7006977248603136,-0.08353704562953845,0.9719218377979472,-0.0457370810124458
Amihud_Illiquidity,-0.7881339278121372,-0.6524833797482239,-0.09263652673972678,0.981361055809417,-0.007623948355737807
Kurtosis,-0.8030006844569639,-0.4870091822514248,-0.13915866870504012,0.9972780822317951,-0.019016856646779483
